Timestamp,Distancia (cm),Duracao (ms),Volume (ml)
2024-02-16 06:16:12,162.33,4.86,350.0
2024-02-16 06:16:13,85.31,2.55,450.0
2024-02-16 06:16:15,180.67,5.41,1050.0
2024-02-16 06:16:15,162.33,4.86,350.0
2024-02-16 06:16:16,160.7,4.81,350.0
2024-02-16 06:16:17,181.64,5.43,350.0
2024-02-16 06:16:18,183.94,5.5,350.0
2024-02-16 06:16:19,161.53,4.83,350.0
2024-02-16 06:16:20,83.71,2.5,350.0
2024-02-16 06:16:21,161.53,4.83,350.0
2024-02-16 06:16:22,163.17,4.88,350.0
2024-02-16 06:16:23,161.5,4.83,350.0
2024-02-16 06:16:24,214.44,6.42,350.0
2024-02-16 06:16:25,168.78,5.05,350.0
2024-02-16 06:16:26,172.72,5.17,350.0
2024-02-16 06:16:27,162.33,4.86,350.0
2024-02-16 06:16:28,166.48,4.98,350.0
2024-02-16 06:16:29,163.07,4.88,350.0
2024-02-16 06:16:30,185.61,5.55,350.0
2024-02-16 06:16:31,171.92,5.14,350.0
2024-02-16 06:16:32,143.8,4.3,350.0
2024-02-16 06:16:33,186.42,5.58,350.0
2024-02-16 06:16:34,183.11,5.48,350.0
2024-02-16 06:16:35,167.81,5.02,350.0
2024-02-16 06:16:36,169.45,5.07,350.0
2024-02-16 06:16:37,161.5,4.83,350.0
2024-02-16 06:16:38,184.78,5.53,350.0
2024-02-16 06:16:39,218.38,6.53,350.0
2024-02-16 06:16:40,169.58,5.07,350.0
2024-02-16 06:16:41,184.75,5.53,350.0
2024-02-16 06:16:43,171.92,5.14,350.0
2024-02-16 06:16:44,159.9,4.78,350.0
2024-02-16 06:16:45,160.7,4.81,350.0
2024-02-16 06:16:45,86.82,2.6,350.0
2024-02-16 06:16:48,171.89,5.14,350.0
2024-02-16 06:16:48,161.5,4.83,350.0
2024-02-16 06:16:49,161.5,4.83,350.0
2024-02-16 06:16:50,161.5,4.83,350.0
2024-02-16 06:16:51,217.58,6.51,350.0
2024-02-16 06:16:52,169.45,5.07,350.0
2024-02-16 06:16:52,176.7,5.29,350.0
2024-02-16 06:16:53,171.08,5.12,350.0
2024-02-16 06:16:55,87.65,2.62,350.0
2024-02-16 06:16:56,169.45,5.07,350.0
2024-02-16 06:16:57,170.25,5.09,350.0
2024-02-16 06:16:58,175.89,5.26,350.0
2024-02-16 06:16:59,171.05,5.12,350.0
2024-02-16 06:16:59,162.33,4.86,350.0
2024-02-16 06:17:00,162.33,4.86,350.0
2024-02-16 06:17:02,84.48,2.53,350.0
2024-02-16 06:17:03,168.65,5.05,350.0
2024-02-16 06:17:04,317.51,9.5,350.0
2024-02-16 06:17:05,160.73,4.81,350.0
2024-02-16 06:17:06,160.7,4.81,350.0
2024-02-16 06:17:07,189.62,5.67,350.0
2024-02-16 06:17:08,183.11,5.48,350.0
2024-02-16 06:17:09,215.07,6.44,350.0
2024-02-16 06:17:10,160.66,4.81,350.0
2024-02-16 06:17:11,83.71,2.5,350.0
2024-02-16 06:17:12,170.25,5.09,350.0
2024-02-16 06:17:13,170.25,5.09,350.0
2024-02-16 06:17:14,163.14,4.88,350.0
2024-02-16 06:17:15,163.17,4.88,350.0
2024-02-16 06:17:16,217.54,6.51,350.0
2024-02-16 06:17:17,162.13,4.85,350.0
2024-02-16 06:17:18,83.61,2.5,350.0
2024-02-16 06:17:19,182.27,5.45,350.0
2024-02-16 06:17:20,161.53,4.83,350.0
2024-02-16 06:17:21,188.05,5.63,350.0
2024-02-16 06:17:22,212.63,6.36,350.0
2024-02-16 06:17:23,166.31,4.98,350.0
2024-02-16 06:17:24,83.64,2.5,350.0
2024-02-16 06:17:25,188.09,5.63,350.0
2024-02-16 06:17:26,170.28,5.09,350.0
2024-02-16 06:17:27,167.95,5.03,350.0
2024-02-16 06:17:28,162.33,4.86,350.0
2024-02-16 06:17:29,186.42,5.58,350.0
2024-02-16 06:17:30,161.53,4.83,350.0
2024-02-16 06:17:31,186.55,5.58,350.0
2024-02-16 06:17:32,163.17,4.88,350.0
2024-02-16 06:17:33,167.31,5.01,350.0
2024-02-16 06:17:34,152.21,4.55,350.0
2024-02-16 06:17:35,167.95,5.03,350.0
2024-02-16 06:17:36,84.51,2.53,350.0
2024-02-16 06:17:37,184.91,5.53,350.0
2024-02-16 06:17:38,191.33,5.72,350.0
2024-02-16 06:17:39,163.97,4.91,350.0
2024-02-16 06:17:40,161.5,4.83,350.0
2024-02-16 06:17:41,161.53,4.83,350.0
2024-02-16 06:17:42,175.86,5.26,350.0
2024-02-16 06:17:43,160.7,4.81,350.0
2024-02-16 06:17:44,163.97,4.91,350.0
2024-02-16 06:17:45,173.56,5.19,350.0
2024-02-16 06:17:46,87.65,2.62,350.0
2024-02-16 06:17:47,163.97,4.91,350.0
2024-02-16 06:17:48,190.36,5.7,350.0
2024-02-16 06:17:49,163.97,4.91,350.0
2024-02-16 06:17:50,85.28,2.55,350.0
2024-02-16 06:17:51,212.77,6.37,350.0
2024-02-16 06:17:52,188.05,5.63,350.0
2024-02-16 06:17:53,84.48,2.53,350.0
2024-02-16 06:17:54,84.51,2.53,350.0
2024-02-16 06:17:55,164.81,4.93,350.0
2024-02-16 06:17:56,83.68,2.5,350.0
2024-02-16 06:17:57,167.95,5.03,350.0
2024-02-16 06:17:58,218.35,6.53,350.0
2024-02-16 06:17:59,163.97,4.91,350.0
2024-02-16 06:18:00,155.49,4.65,350.0
2024-02-16 06:18:01,169.58,5.07,350.0
2024-02-16 06:18:02,161.5,4.83,350.0
2024-02-16 06:18:03,172.69,5.17,350.0
2024-02-16 06:18:04,216.88,6.49,350.0
2024-02-16 06:18:05,160.66,4.81,350.0
2024-02-16 06:18:06,84.45,2.53,350.0
2024-02-16 06:18:07,84.45,2.53,350.0
2024-02-16 06:18:08,169.58,5.07,350.0
2024-02-16 06:18:09,247.87,7.42,350.0
2024-02-16 06:18:10,164.81,4.93,350.0
2024-02-16 06:18:11,186.38,5.58,350.0
2024-02-16 06:18:12,84.51,2.53,350.0
2024-02-16 06:18:13,164.81,4.93,350.0
2024-02-16 06:18:14,216.88,6.49,350.0
2024-02-16 06:18:15,174.39,5.22,350.0
2024-02-16 06:18:16,163.97,4.91,350.0
2024-02-16 06:18:17,161.5,4.83,350.0
2024-02-16 06:18:18,183.14,5.48,350.0
2024-02-16 06:18:19,169.62,5.07,350.0
2024-02-16 06:18:20,161.5,4.83,350.0
